dataset,batch,weighted_loss,parameter_group,gradient_l2
vggss,0,att_space,image_decoder,0.0
vggss,0,att_space,audio_decoder,0.0
vggss,0,att_time,visual_backbone,0.0381806496413499
vggss,0,att_time,visual_l3_slot_branch,0.0
vggss,0,att_time,visual_l4_slot_branch,0.08621743334472448
vggss,0,att_time,visual_fusion,0.0
vggss,0,att_time,audio_backbone,1.2117104519611392
vggss,0,att_time,audio_slot_branch,0.06882640596881193
vggss,0,att_time,shared_slots,0.0008555016030178162
vggss,0,att_time,image_decoder,0.0
vggss,0,att_time,audio_decoder,0.0
vggss,1,info,visual_backbone,11.587830376452363
vggss,1,info,visual_l3_slot_branch,3.2197216841401377
vggss,1,info,visual_l4_slot_branch,6.779510275955303
vggss,1,info,visual_fusion,3.5377088025141834
vggss,1,info,audio_backbone,88.48795396813918
vggss,1,info,audio_slot_branch,13.859526522746478
vggss,1,info,shared_slots,0.11225012653432366
vggss,1,info,image_decoder,0.0
vggss,1,info,audio_decoder,0.0
vggss,1,rec_img,visual_backbone,0.01929231755202506
vggss,1,rec_img,visual_l3_slot_branch,0.029435111040040134
vggss,1,rec_img,visual_l4_slot_branch,0.03885754427317045
vggss,1,rec_img,visual_fusion,0.03172839571294157
vggss,1,rec_img,audio_backbone,0.0
vggss,1,rec_img,audio_slot_branch,0.0
vggss,1,rec_img,shared_slots,0.0003542605459392623
vggss,1,rec_img,image_decoder,0.0854989949907494
vggss,1,rec_img,audio_decoder,0.0
vggss,1,rec_aud,visual_backbone,0.0
vggss,1,rec_aud,visual_l3_slot_branch,0.0
vggss,1,rec_aud,visual_l4_slot_branch,0.0
vggss,1,rec_aud,visual_fusion,0.0
vggss,1,rec_aud,audio_backbone,0.08879645213323882
vggss,1,rec_aud,audio_slot_branch,0.02051694903096494
vggss,1,rec_aud,shared_slots,0.00014466733334463465
vggss,1,rec_aud,image_decoder,0.0
vggss,1,rec_aud,audio_decoder,0.01997907956289107
vggss,1,div_img,visual_backbone,0.011008905958962109
vggss,1,div_img,visual_l3_slot_branch,0.036949328678965894
vggss,1,div_img,visual_l4_slot_branch,0.03005032753059368
vggss,1,div_img,visual_fusion,0.022057240942016193
vggss,1,div_img,audio_backbone,0.0
vggss,1,div_img,audio_slot_branch,0.0
vggss,1,div_img,shared_slots,0.0005154089147096838
vggss,1,div_img,image_decoder,0.0
vggss,1,div_img,audio_decoder,0.0
vggss,1,div_aud,visual_backbone,0.0
vggss,1,div_aud,visual_l3_slot_branch,0.0
vggss,1,div_aud,visual_l4_slot_branch,0.0
vggss,1,div_aud,visual_fusion,0.0
vggss,1,div_aud,audio_backbone,0.30939061175100957
vggss,1,div_aud,audio_slot_branch,0.1303500204808098
vggss,1,div_aud,shared_slots,0.0014185189318198972
vggss,1,div_aud,image_decoder,0.0
vggss,1,div_aud,audio_decoder,0.0
vggss,1,att_space,visual_backbone,0.1689178580897448
vggss,1,att_space,visual_l3_slot_branch,0.0
vggss,1,att_space,visual_l4_slot_branch,0.011988747043916738
vggss,1,att_space,visual_fusion,0.0
vggss,1,att_space,audio_backbone,0.39261478797582405
vggss,1,att_space,audio_slot_branch,0.03489251987574326
vggss,1,att_space,shared_slots,0.000350435689068377
vggss,1,att_space,image_decoder,0.0
vggss,1,att_space,audio_decoder,0.0
vggss,1,att_time,visual_backbone,0.07564704235467033
vggss,1,att_time,visual_l3_slot_branch,0.0
vggss,1,att_time,visual_l4_slot_branch,0.08827856281316199
vggss,1,att_time,visual_fusion,0.0
vggss,1,att_time,audio_backbone,1.155650785083801
vggss,1,att_time,audio_slot_branch,0.07052410538402336
vggss,1,att_time,shared_slots,0.0009032965485984405
vggss,1,att_time,image_decoder,0.0
vggss,1,att_time,audio_decoder,0.0
vggss,2,info,visual_backbone,8.763076711179696
vggss,2,info,visual_l3_slot_branch,2.754380845326753
vggss,2,info,visual_l4_slot_branch,5.798949354010538
vggss,2,info,visual_fusion,3.1943721518450663
vggss,2,info,audio_backbone,68.24364114374791
vggss,2,info,audio_slot_branch,13.45630281847732
vggss,2,info,shared_slots,0.10637283876353902
vggss,2,info,image_decoder,0.0
vggss,2,info,audio_decoder,0.0
vggss,2,rec_img,visual_backbone,0.01434300106393123
vggss,2,rec_img,visual_l3_slot_branch,0.03492806305906646
vggss,2,rec_img,visual_l4_slot_branch,0.04609083531149747
vggss,2,rec_img,visual_fusion,0.03720404102998428
vggss,2,rec_img,audio_backbone,0.0
vggss,2,rec_img,audio_slot_branch,0.0
vggss,2,rec_img,shared_slots,0.0004207987790902138
vggss,2,rec_img,image_decoder,0.10401109704293393
vggss,2,rec_img,audio_decoder,0.0
vggss,2,rec_aud,visual_backbone,0.0
vggss,2,rec_aud,visual_l3_slot_branch,0.0
vggss,2,rec_aud,visual_l4_slot_branch,0.0
vggss,2,rec_aud,visual_fusion,0.0
vggss,2,rec_aud,audio_backbone,0.20197585676311866
vggss,2,rec_aud,audio_slot_branch,0.025019915216835064
vggss,2,rec_aud,shared_slots,0.00017906029156442238
vggss,2,rec_aud,image_decoder,0.0
vggss,2,rec_aud,audio_decoder,0.025583134018482872
vggss,2,div_img,visual_backbone,0.009246811792026188
vggss,2,div_img,visual_l3_slot_branch,0.031226279098651354
vggss,2,div_img,visual_l4_slot_branch,0.025893650971940817
vggss,2,div_img,visual_fusion,0.018823702002534394
vggss,2,div_img,audio_backbone,0.0
vggss,2,div_img,audio_slot_branch,0.0
vggss,2,div_img,shared_slots,0.00043488891872572644
vggss,2,div_img,image_decoder,0.0
vggss,2,div_img,audio_decoder,0.0
vggss,2,div_aud,visual_backbone,0.0
vggss,2,div_aud,visual_l3_slot_branch,0.0
vggss,2,div_aud,visual_l4_slot_branch,0.0
vggss,2,div_aud,visual_fusion,0.0
vggss,2,div_aud,audio_backbone,0.20124163743675208
vggss,2,div_aud,audio_slot_branch,0.10471551488036301
vggss,2,div_aud,shared_slots,0.001125696477296775
vggss,2,div_aud,image_decoder,0.0
vggss,2,div_aud,audio_decoder,0.0
vggss,2,att_space,visual_backbone,0.13176036459501467
vggss,2,att_space,visual_l3_slot_branch,0.0
vggss,2,att_space,visual_l4_slot_branch,0.013626593389208823
vggss,2,att_space,visual_fusion,0.0
vggss,2,att_space,audio_backbone,0.5307673592614932
vggss,2,att_space,audio_slot_branch,0.039487380250143145
vggss,2,att_space,shared_slots,0.0003981236903269913
vggss,2,att_space,image_decoder,0.0
vggss,2,att_space,audio_decoder,0.0
vggss,2,att_time,visual_backbone,0.04299003908034799
vggss,2,att_time,visual_l3_slot_branch,0.0
vggss,2,att_time,visual_l4_slot_branch,0.08407415351606379
vggss,2,att_time,visual_fusion,0.0
vggss,2,att_time,audio_backbone,1.158498948282778
vggss,2,att_time,audio_slot_branch,0.07087149291388292
vggss,2,att_time,shared_slots,0.0008509494475730858
vggss,2,att_time,image_decoder,0.0
vggss,2,att_time,audio_decoder,0.0
vggss,3,info,visual_backbone,10.446750097491096
vggss,3,info,visual_l3_slot_branch,2.109230814195789
vggss,3,info,visual_l4_slot_branch,4.907139414122355
vggss,3,info,visual_fusion,2.5965576182635277
vggss,3,info,audio_backbone,57.0463547714555
vggss,3,info,audio_slot_branch,8.884736539836423
vggss,3,info,shared_slots,0.07228945569830561
vggss,3,info,image_decoder,0.0
vggss,3,info,audio_decoder,0.0
vggss,3,rec_img,visual_backbone,0.014818389304150088
vggss,3,rec_img,visual_l3_slot_branch,0.029858968630602414
vggss,3,rec_img,visual_l4_slot_branch,0.03956679514238685
vggss,3,rec_img,visual_fusion,0.03173142958694799
vggss,3,rec_img,audio_backbone,0.0
vggss,3,rec_img,audio_slot_branch,0.0
vggss,3,rec_img,shared_slots,0.000364375883532297
vggss,3,rec_img,image_decoder,0.0885525622975607
vggss,3,rec_img,audio_decoder,0.0
vggss,3,rec_aud,visual_backbone,0.0
vggss,3,rec_aud,visual_l3_slot_branch,0.0
vggss,3,rec_aud,visual_l4_slot_branch,0.0
vggss,3,rec_aud,visual_fusion,0.0
vggss,3,rec_aud,audio_backbone,0.07670968026189333
vggss,3,rec_aud,audio_slot_branch,0.01987969178865985
vggss,3,rec_aud,shared_slots,0.00013462340874274842
vggss,3,rec_aud,image_decoder,0.0
vggss,3,rec_aud,audio_decoder,0.02391479731425829
vggss,3,div_img,visual_backbone,0.008353498306935903
vggss,3,div_img,visual_l3_slot_branch,0.024081001516827457
vggss,3,div_img,visual_l4_slot_branch,0.019102242405872046
vggss,3,div_img,visual_fusion,0.014381931242315711
vggss,3,div_img,audio_backbone,0.0
vggss,3,div_img,audio_slot_branch,0.0
vggss,3,div_img,shared_slots,0.00033056877856770406
vggss,3,div_img,image_decoder,0.0
vggss,3,div_img,audio_decoder,0.0
vggss,3,div_aud,visual_backbone,0.0
vggss,3,div_aud,visual_l3_slot_branch,0.0
vggss,3,div_aud,visual_l4_slot_branch,0.0
vggss,3,div_aud,visual_fusion,0.0
vggss,3,div_aud,audio_backbone,0.26298460957602476
vggss,3,div_aud,audio_slot_branch,0.11672215120966932
vggss,3,div_aud,shared_slots,0.0012494609349584546
vggss,3,div_aud,image_decoder,0.0
vggss,3,div_aud,audio_decoder,0.0
vggss,3,att_space,visual_backbone,0.1710688691875587
vggss,3,att_space,visual_l3_slot_branch,0.0
vggss,3,att_space,visual_l4_slot_branch,0.011883453310400706
vggss,3,att_space,visual_fusion,0.0
vggss,3,att_space,audio_backbone,0.18449601027098397
vggss,3,att_space,audio_slot_branch,0.033152706300122195
vggss,3,att_space,shared_slots,0.0003174093874910038
vggss,3,att_space,image_decoder,0.0
vggss,3,att_space,audio_decoder,0.0
vggss,3,att_time,visual_backbone,0.06374101857955537
vggss,3,att_time,visual_l3_slot_branch,0.0
vggss,3,att_time,visual_l4_slot_branch,0.10319262205325837
vggss,3,att_time,visual_fusion,0.0
vggss,3,att_time,audio_backbone,1.3433896847823399
vggss,3,att_time,audio_slot_branch,0.08603193567752733
vggss,3,att_time,shared_slots,0.0010416907013834627
vggss,3,att_time,image_decoder,0.0
vggss,3,att_time,audio_decoder,0.0
vggss,4,info,visual_backbone,8.246682768956932
vggss,4,info,visual_l3_slot_branch,2.4092359912915122
vggss,4,info,visual_l4_slot_branch,5.515422059663064
vggss,4,info,visual_fusion,2.9212296329060883
vggss,4,info,audio_backbone,77.69732853453436
vggss,4,info,audio_slot_branch,10.783774252384223
vggss,4,info,shared_slots,0.08332627719319535
vggss,4,info,image_decoder,0.0
vggss,4,info,audio_decoder,0.0
vggss,4,rec_img,visual_backbone,0.01244967176795162
vggss,4,rec_img,visual_l3_slot_branch,0.03004794255575128
vggss,4,rec_img,visual_l4_slot_branch,0.0402018619117767
vggss,4,rec_img,visual_fusion,0.03234145612325587
vggss,4,rec_img,audio_backbone,0.0
vggss,4,rec_img,audio_slot_branch,0.0
vggss,4,rec_img,shared_slots,0.000370009773138101
vggss,4,rec_img,image_decoder,0.0885226234230174
vggss,4,rec_img,audio_decoder,0.0
vggss,4,rec_aud,visual_backbone,0.0
vggss,4,rec_aud,visual_l3_slot_branch,0.0
vggss,4,rec_aud,visual_l4_slot_branch,0.0
vggss,4,rec_aud,visual_fusion,0.0
vggss,4,rec_aud,audio_backbone,0.09798179448524127
vggss,4,rec_aud,audio_slot_branch,0.019676126236405127
vggss,4,rec_aud,shared_slots,0.000135249458609308
vggss,4,rec_aud,image_decoder,0.0
vggss,4,rec_aud,audio_decoder,0.018169205134828326
vggss,4,div_img,visual_backbone,0.008072385497503547
vggss,4,div_img,visual_l3_slot_branch,0.03110482945670997
vggss,4,div_img,visual_l4_slot_branch,0.025847817558262046
vggss,4,div_img,visual_fusion,0.020246457806466247
vggss,4,div_img,audio_backbone,0.0
vggss,4,div_img,audio_slot_branch,0.0
vggss,4,div_img,shared_slots,0.0004234203882762553
vggss,4,div_img,image_decoder,0.0
vggss,4,div_img,audio_decoder,0.0
vggss,4,div_aud,visual_backbone,0.0
vggss,4,div_aud,visual_l3_slot_branch,0.0
vggss,4,div_aud,visual_l4_slot_branch,0.0
vggss,4,div_aud,visual_fusion,0.0
vggss,4,div_aud,audio_backbone,0.2630773588713101
vggss,4,div_aud,audio_slot_branch,0.10592861431248575
vggss,4,div_aud,shared_slots,0.001142737027513998
vggss,4,div_aud,image_decoder,0.0
vggss,4,div_aud,audio_decoder,0.0
vggss,4,att_space,visual_backbone,0.141900839538424
vggss,4,att_space,visual_l3_slot_branch,0.0
vggss,4,att_space,visual_l4_slot_branch,0.011813292723181008
vggss,4,att_space,visual_fusion,0.0
vggss,4,att_space,audio_backbone,0.46022217720920966
vggss,4,att_space,audio_slot_branch,0.03485544749929042
vggss,4,att_space,shared_slots,0.00033265932604434404
vggss,4,att_space,image_decoder,0.0
vggss,4,att_space,audio_decoder,0.0
vggss,4,att_time,visual_backbone,0.05903341296433273
vggss,4,att_time,visual_l3_slot_branch,0.0
vggss,4,att_time,visual_l4_slot_branch,0.1102065864821296
vggss,4,att_time,visual_fusion,0.0
vggss,4,att_time,audio_backbone,1.1290467401054154
vggss,4,att_time,audio_slot_branch,0.0878527966773896
vggss,4,att_time,shared_slots,0.001224361641060657
vggss,4,att_time,image_decoder,0.0
vggss,4,att_time,audio_decoder,0.0
vggss,5,info,visual_backbone,10.719297503010335
vggss,5,info,visual_l3_slot_branch,3.060510573426393
vggss,5,info,visual_l4_slot_branch,6.296550533780861
vggss,5,info,visual_fusion,3.4448463677141024
vggss,5,info,audio_backbone,83.50898303495002
vggss,5,info,audio_slot_branch,13.089318852618522
vggss,5,info,shared_slots,0.10890682735399317
vggss,5,info,image_decoder,0.0
vggss,5,info,audio_decoder,0.0
vggss,5,rec_img,visual_backbone,0.00845924555208108
vggss,5,rec_img,visual_l3_slot_branch,0.029930219997731343
vggss,5,rec_img,visual_l4_slot_branch,0.040595410887052825
vggss,5,rec_img,visual_fusion,0.03246761059464918
vggss,5,rec_img,audio_backbone,0.0
vggss,5,rec_img,audio_slot_branch,0.0
vggss,5,rec_img,shared_slots,0.00036392497284238196
vggss,5,rec_img,image_decoder,0.08934230124349184
vggss,5,rec_img,audio_decoder,0.0
vggss,5,rec_aud,visual_backbone,0.0
vggss,5,rec_aud,visual_l3_slot_branch,0.0
vggss,5,rec_aud,visual_l4_slot_branch,0.0
vggss,5,rec_aud,visual_fusion,0.0
vggss,5,rec_aud,audio_backbone,0.28607155857727024
vggss,5,rec_aud,audio_slot_branch,0.01882716722796311
vggss,5,rec_aud,shared_slots,0.00013226221458091723
vggss,5,rec_aud,image_decoder,0.0
vggss,5,rec_aud,audio_decoder,0.014425638084196172
vggss,5,div_img,visual_backbone,0.0072414632972866155
vggss,5,div_img,visual_l3_slot_branch,0.027688039981010985
vggss,5,div_img,visual_l4_slot_branch,0.021910805851432357
vggss,5,div_img,visual_fusion,0.016748809413703995
vggss,5,div_img,audio_backbone,0.0
vggss,5,div_img,audio_slot_branch,0.0
vggss,5,div_img,shared_slots,0.0003723160898063206
vggss,5,div_img,image_decoder,0.0
vggss,5,div_img,audio_decoder,0.0
vggss,5,div_aud,visual_backbone,0.0
vggss,5,div_aud,visual_l3_slot_branch,0.0
vggss,5,div_aud,visual_l4_slot_branch,0.0
vggss,5,div_aud,visual_fusion,0.0
vggss,5,div_aud,audio_backbone,0.43968168381527006
vggss,5,div_aud,audio_slot_branch,0.14495737772120712
vggss,5,div_aud,shared_slots,0.0015762549171903562
vggss,5,div_aud,image_decoder,0.0
vggss,5,div_aud,audio_decoder,0.0
vggss,5,att_space,visual_backbone,0.1427463152805834
vggss,5,att_space,visual_l3_slot_branch,0.0
vggss,5,att_space,visual_l4_slot_branch,0.011766886295768834
vggss,5,att_space,visual_fusion,0.0
vggss,5,att_space,audio_backbone,0.49446920316298604
vggss,5,att_space,audio_slot_branch,0.03457076013641972
vggss,5,att_space,shared_slots,0.0003481687892946562
vggss,5,att_space,image_decoder,0.0
vggss,5,att_space,audio_decoder,0.0
vggss,5,att_time,visual_backbone,0.07672524885002463
vggss,5,att_time,visual_l3_slot_branch,0.0
vggss,5,att_time,visual_l4_slot_branch,0.092188119329818
vggss,5,att_time,visual_fusion,0.0
vggss,5,att_time,audio_backbone,1.2361177669031362
vggss,5,att_time,audio_slot_branch,0.07558428134148436
vggss,5,att_time,shared_slots,0.0009392511164818359
vggss,5,att_time,image_decoder,0.0
vggss,5,att_time,audio_decoder,0.0
vggss,6,info,visual_backbone,9.306633876125614
vggss,6,info,visual_l3_slot_branch,2.4135559381443006
vggss,6,info,visual_l4_slot_branch,5.486248490927722
vggss,6,info,visual_fusion,2.9425302943944596
vggss,6,info,audio_backbone,53.184522508522434
vggss,6,info,audio_slot_branch,9.840895679268108
vggss,6,info,shared_slots,0.07135775793925825
vggss,6,info,image_decoder,0.0
vggss,6,info,audio_decoder,0.0
vggss,6,rec_img,visual_backbone,0.011360623674722221
vggss,6,rec_img,visual_l3_slot_branch,0.02921877759160288
vggss,6,rec_img,visual_l4_slot_branch,0.0392905442298401
vggss,6,rec_img,visual_fusion,0.03172844289550888
vggss,6,rec_img,audio_backbone,0.0
vggss,6,rec_img,audio_slot_branch,0.0
vggss,6,rec_img,shared_slots,0.00035108291415897363
vggss,6,rec_img,image_decoder,0.08751290341446369
vggss,6,rec_img,audio_decoder,0.0
vggss,6,rec_aud,visual_backbone,0.0
vggss,6,rec_aud,visual_l3_slot_branch,0.0
vggss,6,rec_aud,visual_l4_slot_branch,0.0
vggss,6,rec_aud,visual_fusion,0.0
vggss,6,rec_aud,audio_backbone,0.08177414909460112
vggss,6,rec_aud,audio_slot_branch,0.01789267393265158
vggss,6,rec_aud,shared_slots,0.00012083749458385237
vggss,6,rec_aud,image_decoder,0.0
vggss,6,rec_aud,audio_decoder,0.018710735956962665
vggss,6,div_img,visual_backbone,0.011509341334621288
vggss,6,div_img,visual_l3_slot_branch,0.03187911605785871
vggss,6,div_img,visual_l4_slot_branch,0.026538067964369867
vggss,6,div_img,visual_fusion,0.01960608921332034
vggss,6,div_img,audio_backbone,0.0
vggss,6,div_img,audio_slot_branch,0.0
vggss,6,div_img,shared_slots,0.0004381841288155183
vggss,6,div_img,image_decoder,0.0
vggss,6,div_img,audio_decoder,0.0
vggss,6,div_aud,visual_backbone,0.0
vggss,6,div_aud,visual_l3_slot_branch,0.0
vggss,6,div_aud,visual_l4_slot_branch,0.0
vggss,6,div_aud,visual_fusion,0.0
vggss,6,div_aud,audio_backbone,0.32025856340771336
vggss,6,div_aud,audio_slot_branch,0.1495936330361588
vggss,6,div_aud,shared_slots,0.0016533704800448614
vggss,6,div_aud,image_decoder,0.0
vggss,6,div_aud,audio_decoder,0.0
vggss,6,att_space,visual_backbone,0.1561693303274586
vggss,6,att_space,visual_l3_slot_branch,0.0
vggss,6,att_space,visual_l4_slot_branch,0.014171342151256589
vggss,6,att_space,visual_fusion,0.0
vggss,6,att_space,audio_backbone,0.24636603568147447
vggss,6,att_space,audio_slot_branch,0.043121245830394235
vggss,6,att_space,shared_slots,0.00041506630594018965
vggss,6,att_space,image_decoder,0.0
vggss,6,att_space,audio_decoder,0.0
vggss,6,att_time,visual_backbone,0.05944543630501321
vggss,6,att_time,visual_l3_slot_branch,0.0
vggss,6,att_time,visual_l4_slot_branch,0.09944925311879306
vggss,6,att_time,visual_fusion,0.0
vggss,6,att_time,audio_backbone,1.1847649752736513
vggss,6,att_time,audio_slot_branch,0.08066451675096849
vggss,6,att_time,shared_slots,0.0010654743341210627
vggss,6,att_time,image_decoder,0.0
vggss,6,att_time,audio_decoder,0.0
vggss,7,info,visual_backbone,7.822126568747069
vggss,7,info,visual_l3_slot_branch,2.640274796964787
vggss,7,info,visual_l4_slot_branch,5.4638683630230505
vggss,7,info,visual_fusion,3.0100245874927825
vggss,7,info,audio_backbone,66.77803560561301
vggss,7,info,audio_slot_branch,13.903120110745913
vggss,7,info,shared_slots,0.10939941353839464
vggss,7,info,image_decoder,0.0
vggss,7,info,audio_decoder,0.0
vggss,7,rec_img,visual_backbone,0.009285877077748462
vggss,7,rec_img,visual_l3_slot_branch,0.03088489543197303
vggss,7,rec_img,visual_l4_slot_branch,0.040565658034356716
vggss,7,rec_img,visual_fusion,0.032763791252848264
vggss,7,rec_img,audio_backbone,0.0
vggss,7,rec_img,audio_slot_branch,0.0
vggss,7,rec_img,shared_slots,0.000377122388719273
vggss,7,rec_img,image_decoder,0.08970527251443189
vggss,7,rec_img,audio_decoder,0.0
vggss,7,rec_aud,visual_backbone,0.0
vggss,7,rec_aud,visual_l3_slot_branch,0.0
vggss,7,rec_aud,visual_l4_slot_branch,0.0
vggss,7,rec_aud,visual_fusion,0.0
vggss,7,rec_aud,audio_backbone,0.09504755363836614
vggss,7,rec_aud,audio_slot_branch,0.017819961847311105
vggss,7,rec_aud,shared_slots,0.00012755939571886877
vggss,7,rec_aud,image_decoder,0.0
vggss,7,rec_aud,audio_decoder,0.016483411150858374
vggss,7,div_img,visual_backbone,0.008785145235030517
vggss,7,div_img,visual_l3_slot_branch,0.027079856508176965
vggss,7,div_img,visual_l4_slot_branch,0.022668090146996018
vggss,7,div_img,visual_fusion,0.016777308703872076
vggss,7,div_img,audio_backbone,0.0
vggss,7,div_img,audio_slot_branch,0.0
vggss,7,div_img,shared_slots,0.0003750331069881884
vggss,7,div_img,image_decoder,0.0
vggss,7,div_img,audio_decoder,0.0
vggss,7,div_aud,visual_backbone,0.0
vggss,7,div_aud,visual_l3_slot_branch,0.0
vggss,7,div_aud,visual_l4_slot_branch,0.0
vggss,7,div_aud,visual_fusion,0.0
vggss,7,div_aud,audio_backbone,0.26002289400065554
vggss,7,div_aud,audio_slot_branch,0.11644037012784894
vggss,7,div_aud,shared_slots,0.0012445015671967903
vggss,7,div_aud,image_decoder,0.0
vggss,7,div_aud,audio_decoder,0.0
vggss,7,att_space,visual_backbone,0.1325827756157766
vggss,7,att_space,visual_l3_slot_branch,0.0
vggss,7,att_space,visual_l4_slot_branch,0.012613356109913052
vggss,7,att_space,visual_fusion,0.0
vggss,7,att_space,audio_backbone,0.41455232738038816
vggss,7,att_space,audio_slot_branch,0.037095168489094985
vggss,7,att_space,shared_slots,0.00035425939549250517
vggss,7,att_space,image_decoder,0.0
vggss,7,att_space,audio_decoder,0.0
vggss,7,att_time,visual_backbone,0.04642484701726432
vggss,7,att_time,visual_l3_slot_branch,0.0
vggss,7,att_time,visual_l4_slot_branch,0.08440516539496298
vggss,7,att_time,visual_fusion,0.0
vggss,7,att_time,audio_backbone,1.2522004016919595
vggss,7,att_time,audio_slot_branch,0.0737456484854772
vggss,7,att_time,shared_slots,0.0008515123259754175
vggss,7,att_time,image_decoder,0.0
vggss,7,att_time,audio_decoder,0.0
vggss,8,info,visual_backbone,7.882789315870948
vggss,8,info,visual_l3_slot_branch,2.683160148831107
vggss,8,info,visual_l4_slot_branch,4.865703400581492
vggss,8,info,visual_fusion,2.7611918918063347
vggss,8,info,audio_backbone,54.713596231873694
vggss,8,info,audio_slot_branch,13.178798295627379
vggss,8,info,shared_slots,0.10786956143321791
vggss,8,info,image_decoder,0.0
vggss,8,info,audio_decoder,0.0
vggss,8,rec_img,visual_backbone,0.01615223112724416
vggss,8,rec_img,visual_l3_slot_branch,0.03182056373962953
vggss,8,rec_img,visual_l4_slot_branch,0.041809453390525844
vggss,8,rec_img,visual_fusion,0.034661655854454076
vggss,8,rec_img,audio_backbone,0.0
vggss,8,rec_img,audio_slot_branch,0.0
vggss,8,rec_img,shared_slots,0.00038286553513023025
vggss,8,rec_img,image_decoder,0.09252968698622137
vggss,8,rec_img,audio_decoder,0.0
vggss,8,rec_aud,visual_backbone,0.0
vggss,8,rec_aud,visual_l3_slot_branch,0.0
vggss,8,rec_aud,visual_l4_slot_branch,0.0
vggss,8,rec_aud,visual_fusion,0.0
vggss,8,rec_aud,audio_backbone,0.21284174950103407
vggss,8,rec_aud,audio_slot_branch,0.017225592941347345
vggss,8,rec_aud,shared_slots,0.00012341149128158
vggss,8,rec_aud,image_decoder,0.0
vggss,8,rec_aud,audio_decoder,0.015205399212346682
vggss,8,div_img,visual_backbone,0.01491969041008345
vggss,8,div_img,visual_l3_slot_branch,0.034536742584626495
vggss,8,div_img,visual_l4_slot_branch,0.029950799501807297
vggss,8,div_img,visual_fusion,0.022819888445294822
vggss,8,div_img,audio_backbone,0.0
vggss,8,div_img,audio_slot_branch,0.0
vggss,8,div_img,shared_slots,0.0004821889331041904
vggss,8,div_img,image_decoder,0.0
vggss,8,div_img,audio_decoder,0.0
vggss,8,div_aud,visual_backbone,0.0
vggss,8,div_aud,visual_l3_slot_branch,0.0
vggss,8,div_aud,visual_l4_slot_branch,0.0
vggss,8,div_aud,visual_fusion,0.0
vggss,8,div_aud,audio_backbone,0.2956073802052231
vggss,8,div_aud,audio_slot_branch,0.11565683009057746
vggss,8,div_aud,shared_slots,0.0012702602599922043
vggss,8,div_aud,image_decoder,0.0
vggss,8,div_aud,audio_decoder,0.0
vggss,8,att_space,visual_backbone,0.18495308001725091
vggss,8,att_space,visual_l3_slot_branch,0.0
vggss,8,att_space,visual_l4_slot_branch,0.012435657890649102
vggss,8,att_space,visual_fusion,0.0
